time (secs),altitude (ft),speed (ft/s)
118.0,2.7000623958883807e-13,0.0
121.0,2.7000623958883807e-13,0.0
124.0,2.7000623958883807e-13,0.0
127.0,2.7000623958883807e-13,0.0
130.0,2.7000623958883807e-13,0.0
133.0,2.7000623958883807e-13,0.0
136.0,2.7000623958883807e-13,0.0
139.0,2.7000623958883807e-13,0.0
142.0,2.7000623958883807e-13,0.0
145.0,2.7000623958883807e-13,0.0
148.0,2.7000623958883807e-13,0.0
151.0,2.7000623958883807e-13,0.0
154.0,2.7000623958883807e-13,0.0
157.0,2.7000623958883807e-13,0.0
160.0,2.7000623958883807e-13,0.0
163.0,2.7000623958883807e-13,0.0
166.0,2.7000623958883807e-13,0.0
169.0,2.7000623958883807e-13,0.0
172.0,2.7000623958883807e-13,0.0
175.0,2.7000623958883807e-13,0.0
178.0,2.7000623958883807e-13,0.0
181.0,2.7000623958883807e-13,0.0
184.0,2.7000623958883807e-13,0.0
187.0,2.7000623958883807e-13,0.0
190.0,2.7000623958883807e-13,0.0
193.0,2.7000623958883807e-13,0.0
196.0,2.7000623958883807e-13,0.0
199.0,2.7000623958883807e-13,0.0
202.0,2.7000623958883807e-13,0.0
205.0,2.7000623958883807e-13,0.0
208.0,2.7000623958883807e-13,0.0
211.0,2.7000623958883807e-13,0.0
214.0,2.7000623958883807e-13,0.0
217.0,2.7000623958883807e-13,0.0
220.0,2.7000623958883807e-13,0.0
223.0,2.7000623958883807e-13,0.0
226.0,2.7000623958883807e-13,0.0
229.0,2.7000623958883807e-13,0.0
232.0,2.7000623958883807e-13,0.0
235.0,2.7000623958883807e-13,0.0
238.0,2.7000623958883807e-13,0.0
241.0,2.7000623958883807e-13,0.0
244.0,2.7000623958883807e-13,0.0
247.0,2.7000623958883807e-13,0.0
250.0,2.7000623958883807e-13,0.0
253.0,2.7000623958883807e-13,0.0
256.0,2.7000623958883807e-13,0.0
259.0,2.7000623958883807e-13,0.0
262.0,2.7000623958883807e-13,0.0
265.0,2.7000623958883807e-13,0.0
268.0,2.7000623958883807e-13,0.0
