time (secs),altitude (ft),speed (ft/s)
118.0,4.405364961712621e-13,0.0
121.0,4.405364961712621e-13,0.0
124.0,4.405364961712621e-13,0.0
127.0,4.405364961712621e-13,0.0
130.0,4.405364961712621e-13,0.0
133.0,4.405364961712621e-13,0.0
136.0,4.405364961712621e-13,0.0
139.0,4.405364961712621e-13,0.0
142.0,4.405364961712621e-13,0.0
145.0,4.405364961712621e-13,0.0
148.0,4.405364961712621e-13,0.0
151.0,4.405364961712621e-13,0.0
154.0,4.405364961712621e-13,0.0
157.0,4.405364961712621e-13,0.0
160.0,4.405364961712621e-13,0.0
163.0,4.405364961712621e-13,0.0
166.0,4.405364961712621e-13,0.0
169.0,4.405364961712621e-13,0.0
172.0,4.405364961712621e-13,0.0
175.0,4.405364961712621e-13,0.0
178.0,4.405364961712621e-13,0.0
181.0,4.405364961712621e-13,0.0
184.0,4.405364961712621e-13,0.0
187.0,4.405364961712621e-13,0.0
190.0,4.405364961712621e-13,0.0
193.0,4.405364961712621e-13,0.0
196.0,4.405364961712621e-13,0.0
199.0,4.405364961712621e-13,0.0
202.0,4.405364961712621e-13,0.0
205.0,4.405364961712621e-13,0.0
208.0,4.405364961712621e-13,0.0
211.0,4.405364961712621e-13,0.0
214.0,4.405364961712621e-13,0.0
217.0,4.405364961712621e-13,0.0
220.0,4.405364961712621e-13,0.0
223.0,4.405364961712621e-13,0.0
226.0,4.405364961712621e-13,0.0
229.0,4.405364961712621e-13,0.0
232.0,4.405364961712621e-13,0.0
235.0,4.405364961712621e-13,0.0
238.0,4.405364961712621e-13,0.0
241.0,4.405364961712621e-13,0.0
244.0,4.405364961712621e-13,0.0
247.0,4.405364961712621e-13,0.0
250.0,4.405364961712621e-13,0.0
253.0,4.405364961712621e-13,0.0
256.0,4.405364961712621e-13,0.0
259.0,4.405364961712621e-13,0.0
262.0,4.405364961712621e-13,0.0
265.0,4.405364961712621e-13,0.0
268.0,4.405364961712621e-13,0.0
271.0,4.405364961712621e-13,0.0
274.0,4.405364961712621e-13,0.0
277.0,4.405364961712621e-13,0.0
280.0,4.405364961712621e-13,0.0
283.0,4.405364961712621e-13,0.0
286.0,4.405364961712621e-13,0.0
289.0,4.405364961712621e-13,0.0
292.0,4.405364961712621e-13,0.0
295.0,4.405364961712621e-13,0.0
298.0,4.405364961712621e-13,0.0
301.0,4.405364961712621e-13,0.0
304.0,4.405364961712621e-13,0.0
307.0,4.405364961712621e-13,0.0
310.0,4.405364961712621e-13,0.0
313.0,4.405364961712621e-13,0.0
316.0,4.405364961712621e-13,0.0
319.0,4.405364961712621e-13,0.0
322.0,4.405364961712621e-13,0.0
325.0,4.405364961712621e-13,0.0
328.0,4.405364961712621e-13,0.0
331.0,4.405364961712621e-13,0.0
334.0,4.405364961712621e-13,0.0
337.0,4.405364961712621e-13,0.0
340.0,4.405364961712621e-13,0.0
343.0,4.405364961712621e-13,0.0
346.0,4.405364961712621e-13,0.0
349.0,4.405364961712621e-13,0.0
352.0,4.405364961712621e-13,0.0
355.0,4.405364961712621e-13,0.0
358.0,4.405364961712621e-13,0.0
361.0,4.405364961712621e-13,0.0
364.0,4.405364961712621e-13,0.0
367.0,4.405364961712621e-13,0.0
370.0,4.405364961712621e-13,0.0
373.0,4.405364961712621e-13,0.0
376.0,4.405364961712621e-13,0.0
379.0,4.405364961712621e-13,0.0
382.0,4.405364961712621e-13,0.0
385.0,4.405364961712621e-13,0.0
388.0,4.405364961712621e-13,0.0
391.0,4.405364961712621e-13,0.0
394.0,4.405364961712621e-13,0.0
397.0,4.405364961712621e-13,0.0
400.0,4.405364961712621e-13,0.0
403.0,4.405364961712621e-13,0.0
406.0,4.405364961712621e-13,0.0
409.0,4.405364961712621e-13,0.0
412.0,4.405364961712621e-13,0.0
415.0,4.405364961712621e-13,0.0
418.0,4.405364961712621e-13,0.0
421.0,4.405364961712621e-13,0.0
424.0,4.405364961712621e-13,0.0
427.0,4.405364961712621e-13,0.0
430.0,4.405364961712621e-13,0.0
433.0,4.405364961712621e-13,0.0
436.0,4.405364961712621e-13,0.0
439.0,4.405364961712621e-13,0.0
442.0,4.405364961712621e-13,0.0
445.0,4.405364961712621e-13,0.0
448.0,4.405364961712621e-13,0.0
451.0,4.405364961712621e-13,0.0
454.0,4.405364961712621e-13,0.0
457.0,4.405364961712621e-13,0.0
460.0,4.405364961712621e-13,0.0
463.0,4.405364961712621e-13,0.0
466.0,4.405364961712621e-13,0.0
469.0,4.405364961712621e-13,0.0
472.0,4.405364961712621e-13,0.0
475.0,4.405364961712621e-13,0.0
478.0,4.405364961712621e-13,0.0
481.0,4.405364961712621e-13,0.0
