time (secs),altitude (ft),speed (ft/s)
115.0,-1.4210854715202004e-14,0.0
118.0,-1.4210854715202004e-14,0.0
121.0,-1.4210854715202004e-14,0.0
124.0,-1.4210854715202004e-14,0.0
127.0,-1.4210854715202004e-14,0.0
130.0,-1.4210854715202004e-14,0.0
133.0,-1.4210854715202004e-14,0.0
136.0,-1.4210854715202004e-14,0.0
139.0,-1.4210854715202004e-14,0.0
142.0,-1.4210854715202004e-14,0.0
145.0,-1.4210854715202004e-14,0.0
148.0,-1.4210854715202004e-14,0.0
151.0,-1.4210854715202004e-14,0.0
154.0,-1.4210854715202004e-14,0.0
157.0,-1.4210854715202004e-14,0.0
160.0,-1.4210854715202004e-14,0.0
163.0,-1.4210854715202004e-14,0.0
166.0,-1.4210854715202004e-14,0.0
169.0,-1.4210854715202004e-14,0.0
172.0,-1.4210854715202004e-14,0.0
175.0,-1.4210854715202004e-14,0.0
178.0,-1.4210854715202004e-14,0.0
181.0,-1.4210854715202004e-14,0.0
184.0,-1.4210854715202004e-14,0.0
187.0,-1.4210854715202004e-14,0.0
190.0,-1.4210854715202004e-14,0.0
193.0,-1.4210854715202004e-14,0.0
196.0,-1.4210854715202004e-14,0.0
199.0,-1.4210854715202004e-14,0.0
202.0,-1.4210854715202004e-14,0.0
205.0,-1.4210854715202004e-14,0.0
208.0,-1.4210854715202004e-14,0.0
211.0,-1.4210854715202004e-14,0.0
214.0,-1.4210854715202004e-14,0.0
217.0,-1.4210854715202004e-14,0.0
220.0,-1.4210854715202004e-14,0.0
223.0,-1.4210854715202004e-14,0.0
226.0,-1.4210854715202004e-14,0.0
229.0,-1.4210854715202004e-14,0.0
232.0,-1.4210854715202004e-14,0.0
235.0,-1.4210854715202004e-14,0.0
238.0,-1.4210854715202004e-14,0.0
241.0,-1.4210854715202004e-14,0.0
244.0,-1.4210854715202004e-14,0.0
247.0,-1.4210854715202004e-14,0.0
250.0,-1.4210854715202004e-14,0.0
253.0,-1.4210854715202004e-14,0.0
256.0,-1.4210854715202004e-14,0.0
259.0,-1.4210854715202004e-14,0.0
262.0,-1.4210854715202004e-14,0.0
265.0,-1.4210854715202004e-14,0.0
268.0,-1.4210854715202004e-14,0.0
271.0,-1.4210854715202004e-14,0.0
274.0,-1.4210854715202004e-14,0.0
277.0,-1.4210854715202004e-14,0.0
280.0,-1.4210854715202004e-14,0.0
283.0,-1.4210854715202004e-14,0.0
286.0,-1.4210854715202004e-14,0.0
289.0,-1.4210854715202004e-14,0.0
292.0,-1.4210854715202004e-14,0.0
295.0,-1.4210854715202004e-14,0.0
298.0,-1.4210854715202004e-14,0.0
301.0,-1.4210854715202004e-14,0.0
304.0,-1.4210854715202004e-14,0.0
307.0,-1.4210854715202004e-14,0.0
310.0,9.722222222222207,3.2407407407407405
313.0,9.722222222222207,0.0
316.0,9.722222222222207,0.0
319.0,9.722222222222207,0.0
322.0,9.722222222222207,0.0
325.0,9.722222222222207,0.0
328.0,9.722222222222207,0.0
331.0,9.722222222222207,0.0
334.0,9.722222222222207,0.0
337.0,9.722222222222207,0.0
340.0,9.722222222222207,0.0
343.0,9.722222222222207,0.0
346.0,9.722222222222207,0.0
349.0,9.722222222222207,0.0
352.0,9.722222222222207,0.0
355.0,9.722222222222207,0.0
358.0,9.722222222222207,0.0
361.0,9.722222222222207,0.0
364.0,9.722222222222207,0.0
367.0,9.722222222222207,0.0
370.0,9.722222222222207,0.0
373.0,9.722222222222207,0.0
376.0,9.722222222222207,0.0
379.0,9.722222222222207,0.0
382.0,9.722222222222207,0.0
385.0,9.722222222222207,0.0
388.0,9.722222222222207,0.0
391.0,9.722222222222207,0.0
394.0,9.722222222222207,0.0
397.0,9.722222222222207,0.0
400.0,9.722222222222207,0.0
